price,property_type,address,bed,bath,parking,link
170,Apartment,"502/23 King William Street, Adelaide SA 5000",0,1,0,https://www.rent.com.au/property/502-23-king-william-st-adelaide-sa-5000-4870578
,Apartment,"1105/102-110 Waymouth Street, Adelaide SA 5000",2,1,0,https://www.rent.com.au/property/1105-102-110-waymouth-st-adelaide-sa-5000-4977567
,Apartment,"1212/15 Austin Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/1212-15-austin-st-adelaide-sa-5000-4976949
520,Apartment,"500/271-281 Gouger Street, Adelaide SA 5000",2,2,1,https://www.rent.com.au/property/500-271-281-gouger-st-adelaide-sa-5000-4339199
500,Apartment,"13/177 Angas Street, Adelaide SA 5000",3,1,0,https://www.rent.com.au/property/13-177-angas-st-adelaide-sa-5000-4972677
850,Apartment,"175 Halifax Street, Adelaide SA 5000",3,3,0,https://www.rent.com.au/property/175-halifax-st-adelaide-sa-5000-4971247
600,Apartment,"2301/421 King William Street, Adelaide SA 5000",2,1,1,https://www.rent.com.au/property/2301-421-king-william-st-adelaide-sa-5000-4968338
740,Unit,"180 Wakefield Street, Adelaide SA 5000",3,2,2,https://www.rent.com.au/property/180-wakefield-st-adelaide-sa-5000-4290749
630,Apartment,"1602/160 Grote Street, Adelaide SA 5000",2,2,1,https://www.rent.com.au/property/1602-160-grote-st-adelaide-sa-5000-4966049
360,Apartment,"803A.2/160 Grote Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/803a2-160-grote-st-adelaide-sa-5000-4965976
390,Apartment,"12/271-281 Gouger Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/12-271-281-gouger-st-adelaide-sa-5000-4965105
240,Unit,"1/79A Hindley Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/1-79a-hindley-st-adelaide-sa-5000-4962331
320,Apartment,"9/155 Waymouth Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/9-155-waymouth-st-adelaide-sa-5000-4959676
540,Apartment,"South Terrace, Adelaide SA 5000",2,1,1,https://www.rent.com.au/property/south-tce-adelaide-sa-5000-2911064
,Apartment,"303/39 Grenfell Street, Adelaide SA 5000",2,1,0,https://www.rent.com.au/property/303-39-grenfell-st-adelaide-sa-5000-4316689
330,Apartment,"STUDIO/116 Waymouth Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/studio-116-waymouth-st-adelaide-sa-5000-4117219
650,Apartment,"913A/160 Grote Street, Adelaide SA 5000",2,2,1,https://www.rent.com.au/property/913a-160-grote-st-adelaide-sa-5000-4914875
650,Apartment,"3 BEDROOM/116 Waymouth Street, Adelaide SA 5000",3,2,0,https://www.rent.com.au/property/3-bedroom-116-waymouth-st-adelaide-sa-5000-4905139
480,Apartment,"2 BEDROOM/116 Waymouth Street, Adelaide SA 5000",2,2,0,https://www.rent.com.au/property/2-bedroom-116-waymouth-st-adelaide-sa-5000-4147351
170,Apartment,"703/23 King William Street, Adelaide SA 5000",3,1,0,https://www.rent.com.au/property/703-23-king-william-st-adelaide-sa-5000-4870576
195,Apartment,"5.3/92 Gray Street, Adelaide SA 5000",4,1,0,https://www.rent.com.au/property/53-92-gray-st-adelaide-sa-5000-4853283
219,Apartment,"1315/30 Victoria Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/1315-30-victoria-st-adelaide-sa-5000-4853287
315,Apartment,"323/304 Waymouth Street, Adelaide SA 5000",1,1,0,https://www.rent.com.au/property/323-304-waymouth-st-adelaide-sa-5000-4853274
515,Unit,"1/18 Miller Street, Unley SA 5061",3,1,2,https://www.rent.com.au/property/1-18-miller-st-unley-sa-5061-5000984
360,Unit,"17/11 Walkerville Terrace, Gilberton SA 5081",2,1,1,https://www.rent.com.au/property/17-11-walkerville-tce-gilberton-sa-5081-4998044
575,Apartment,"415/3 Banksia Street, Glenside SA 5065",2,2,1,https://www.rent.com.au/property/415-3-banksia-st-glenside-sa-5065-4997690
